trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
190,False,"{'a': 0.41016074662018426, 'e': 0.3858205374665315}",20,12,-3.470391075108739,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
191,False,"{'a': 0.4093404251269439, 'e': 0.38389143477919885}",25,2,6.241981271671932,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
192,False,"{'a': 0.40852174427669, 'e': 0.3819719776053028}",25,0,-13.281900925991213,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
193,False,"{'a': 0.40770470078813664, 'e': 0.3800621177172763}",20,2,-90.54537701058467,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 2}",1
194,False,"{'a': 0.4068892913865604, 'e': 0.37816180712868996}",20,0,-15.425281017164327,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
195,False,"{'a': 0.4060755128037873, 'e': 0.37627099809304654}",25,0,-45.22126914235543,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
196,False,"{'a': 0.40526336177817973, 'e': 0.3743896431025813}",20,15,2.093705747470061,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.40445283505462337, 'e': 0.37251769488706843}",30,15,19.20753253903862,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
198,False,"{'a': 0.4036439293845141, 'e': 0.3706551064126331}",25,4,-23.429046653239844,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
199,False,"{'a': 0.40283664152574505, 'e': 0.36880183088056995}",30,20,-3.796035903541994,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
200,False,"{'a': 0.4020309682426936, 'e': 0.3669578217261671}",30,0,-3.541791281365474,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
201,False,"{'a': 0.40122690630620816, 'e': 0.36512303261753626}",30,18,4.228698583744325,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.40042445249359576, 'e': 0.3632974174544486}",20,0,-15.38042073997971,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
203,False,"{'a': 0.39962360358860854, 'e': 0.3614809303671764}",25,0,-23.114949689527474,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
204,False,"{'a': 0.3988243563814313, 'e': 0.3596735257153405}",25,10,5.347072095457694,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
205,False,"{'a': 0.39802670766866843, 'e': 0.3578751580867638}",30,0,-0.0069084922596995835,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
206,False,"{'a': 0.3972306542533311, 'e': 0.35608578229633}",25,13,-2.9536353530025528,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
207,False,"{'a': 0.3964361929448244, 'e': 0.3543053533848483}",30,12,-8.196152562620485,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
